distrito,mean_meters,advertised_rent_time,advertised_sell_time,size_rent,size_sell,€/meter_rent,€/meter_sell,apartments,RB,PER,change_2014_2024_sell,change_2014_2024_rent,change_2021_2024_sell,change_2021_2024_rent,sell,rent,revaluation,PER_adjusted,norm_revaluation,norm_RB,inverse_PER,norm_PER
retiro,80.0,1.6107957859434237,1.7198703703703704,127.0,75.0,28.36766394019329,7627.065093300226,55620,4.463210463240237,22.405396479421498,0.06130179243331629,0.0778450105530087,0.22838281234650398,0.38153023447141104,610165.2074640181,2269.413115215463,61235758.92957554,7.804501952847749,0.005432773383926848,0.33142126089590335,0.04463210463240237,0.3314212608959033
retiro,100.0,1.52627002002002,2.0807728647014363,74.0,147.0,23.868242424914833,7855.536820576125,55620,3.646076845426485,27.42673954484437,0.06130179243331629,0.0778450105530087,0.22838281234650398,0.38153023447141104,785553.6820576125,2386.8242424914833,221466909.19387037,8.639848493848753,0.019648315799804573,0.2707439847139381,0.03646076845426485,0.27074398471393807
retiro,120.0,1.7095959595959596,2.88428952991453,132.0,260.0,23.39570935750318,9262.709499664446,55620,3.030954520383141,32.99290679800734,0.06130179243331629,0.0778450105530087,0.22838281234650398,0.38153023447141104,1111525.1399597335,2807.4851229003816,984688247.7636819,9.423880959676268,0.08736052589906519,0.2250673090899341,0.030309545203831407,0.22506730908993408
rivas-vaciamadrid,30.0,1.0898148148148148,0.0,3.0,0.0,29.418245614035087,0.0,35545,0.0,0.0,0.051854290693797406,0.0682374374495431,0.171596020171732,0.313073094052921,0.0,882.5473684210526,0.0,-1.0,0.0,0.0,0.0,0.0
rivas-vaciamadrid,50.0,1.15,0.0,2.0,0.0,17.1734693877551,0.0,35545,0.0,0.0,0.051854290693797406,0.0682374374495431,0.171596020171732,0.313073094052921,0.0,858.6734693877551,0.0,-1.0,0.0,0.0,0.0,0.0
rivas-vaciamadrid,80.0,1.55,2.1435897435897435,4.0,13.0,16.716548295454547,3650.6943148440437,35545,5.494806254519945,18.199003817057516,0.051854290693797406,0.0682374374495431,0.171596020171732,0.313073094052921,292055.5451875235,1337.3238636363637,5213801.565022402,7.944740224541883,0.0004625630982071376,0.40802369331461075,0.054948062545199454,0.4080236933146107
rivas-vaciamadrid,100.0,1.8125,1.4953216374269005,9.0,19.0,12.03900532276794,2999.4695107309512,35545,4.816453821462894,20.76216314052133,0.051854290693797406,0.0682374374495431,0.171596020171732,0.313073094052921,299946.95107309514,1203.900532276794,8035671.558651612,8.584800736845649,0.0007129164940378579,0.35765178713917245,0.04816453821462894,0.3576517871391724
rivas-vaciamadrid,120.0,1.2055555555555555,1.751457840819543,8.0,141.0,10.042134747062315,2571.1575543103063,35545,4.686823518952829,21.33641251811907,0.051854290693797406,0.0682374374495431,0.171596020171732,0.313073094052921,308538.9065172367,1205.0561696474779,9052808.239715436,8.719719667874621,0.0008031558114774326,0.3480259273097856,0.04686823518952829,0.3480259273097856
san-blas,30.0,1.48,1.2625,5.0,6.0,30.979563492063495,4908.37537754643,66970,7.573886129519957,13.20326161364379,0.036673123992091904,0.054866159121921304,0.164985348654847,0.282953715386148,147251.2613263929,929.3869047619048,1105873.506703694,6.572338490286605,9.811195710204487e-05,0.5624083631281777,0.07573886129519958,0.5624083631281777
san-blas,50.0,1.5088927469135802,1.9055401234567901,48.0,90.0,20.95691841622104,3716.413205545382,66970,6.766820778147231,14.777988553049902,0.036673123992091904,0.054866159121921304,0.164985348654847,0.282953715386148,185820.6602772691,1047.8459208110519,1774912.9159265654,7.086870824224691,0.00015746844355311193,0.5024787186311629,0.06766820778147231,0.5024787186311628
